"charcoal/attachment/object/accordion";"Accordion"
"charcoal/attachment/object/attachment";"Attachment"
"charcoal/attachment/object/category/generic";"Category"
"charcoal/attachment/object/embed";"Media"
"charcoal/attachment/object/file";"File"
"charcoal/attachment/object/gallery";"Gallery"
"charcoal/attachment/object/image";"Image"
"charcoal/attachment/object/link";"Link"
"charcoal/attachment/object/text";"Text"
"charcoal/attachment/object/video";"Embed"
"Attachment";"Attachment"
"Attachments";"Attachments"
"New Attachment";"New Attachment"
"Edit Attachment";"Edit Attachment"
"List of Attachments";"List of Attachments"
"Category";"Category"
"Categories";"Categories"
"File / Link";"File / Link"
"New Category";"New Category"
"List of Categories";"List of Categories"
"Information";"Information"
"Accordion";"Accordion"
"Text Zone";"Text Zone"
"New Text Zone";"New Text Zone"
"List of Text Zones";"List of Text Zones"
"Picture";"Picture"
"New Picture";"New Picture"
"New Image";"New Image"
"List of Pictures";"List of Pictures"
"List of Images";"List of Images"
"Gallery";"Gallery"
"Picture Gallery";"Picture Gallery"
"New Gallery";"New Gallery"
"List of Galleries";"List of Galleries"
"Embedded Media";"Embedded Media"
"New Embedded Media";"Nouveau média externe"
"List of Embedded Media";"Liste des médias externe"
"Content Accordion";"Content Accordion"
"Panels";"Panels"
"Related Content";"Related Content"
"ID";"ID"
"Attachment ID";"Attachment ID"
"Object ID";"Object ID"
"Object Type";"Object Type"
"Group";"Group"
"If empty, the group will be set to ""generic""";"If empty, the group will be set to ""generic"""
"Active";"Active"
"Position";"Position"
"Title";"Title"
"Show title on the website";"Show title on the website"
"Sub-Title";"Sub-Title"
"Description";"Description"
"Keywords";"Keywords"
"Type";"Type"
"URL";"URL"
"e.g.: <samp>https://locomotive.ca</samp>";"e.g.: <samp>https://locomotive.ca</samp>"
"File";"File"
"File Size";"File Size"
"File Type";"File Type"
"File's Thumbnail";"File's Thumbnail"
"New File";"New File"
"List of Files";"List of Files"
"Video";"Video"
"New Video";"New Video"
"List of Videos";"List of Videos"
"Embed Video";"Embed Video"
"As provided by YouTube or Vimeo";"As provided by YouTube or Vimeo"
"Media";"Media"
"Taxonomy";"Taxonomy"
"External Link";"External Link"
"New Link";"New Link"
"List of Links";"List of Links"
"{{ objType }} #{{ id }}";"{{ objType }} #{{ id }}"
"Add";"Add"
"Add Content";"Add Content"
"Edit";"Edit"
"Edit Content";"Edit Content"
"Remove";"Remove"
"Actions";"Actions"
"Disabled";"Disabled"
"You must save this object to add this content type";"You must save this object to add this content type"
"No content linked to this object.";"No content linked to this object."
"Toggle Attachment Previews";"Toggle Attachment Previews"
"Expand Previews";"Expand Previews"
"Close Previews";"Close Previews"
"Expand";"Expand"
"Close";"Close"
